"Año";"Periodo";"Hombres";"Mujeres"
"1987";"Año";"2";"1"
"1988";"Año";"3";"0"
"1989";"Año";"5";"0"
"1990";"Año";"6";"4"
"1991";"Año";"5";"1"
"1992";"Año";"4";"2"
"1993";"Año";"5";"1"
"1994";"Año";"5";"1"
"1995";"Año";"6";"0"
"1996";"Año";"5";"1"
"1997";"Año";"5";"1"
"1998";"Año";"5";"1"
"1999";"Año";"8";"0"
"2000";"Año";"6";"2"
"2001";"Año";"7";"1"
"2002";"Año";"8";"0"
"2003";"Año";"7";"1"
"2004";"Año";"5";"3"
"2005";"Año";"7";"0"
"2006";"Año";"7";"1"
"2007";"Año";"8";"0"
"2008";"Año";"6";"2"
"2009";"Año";"6";"2"
"2010";"Año";"7";"1"
"2011";"Año";"6";"2"
"2012";"Año";"7";"1"
"2013";"Año";"7";"1"
"2014";"Año";"6";"2"
"2015";"Año";"7";"1"
"2016";"Año";"5";"3"
"2017";"Año";"7";"1"
"2018";"Año";"6";"2"
"2019";"Año";"5";"3"
"2020";"Año";"9";"1"
"2021";"Año";"4";"4"
"2022";"Año";"5";"3"
"2023";"Año";"5";"5"
"2024";"Año";"7";"4"
;;;
;;;
"Métrica":"Hombres"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"Nominaciones"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Mujeres"
"Fuente":"Premios Goya"
"Clasificación":""
"Unidad":"Nominaciones"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/variado-nominacion-mujeres-directoras-frente-hombres-directores/9bfd7d02-63de-4b42-962e-647748d3a455"
"Titulo":"Número de directores y directoras de cine nominados en los Premios Goya"
"Subtitulo":"Se incluyen nominaciones tanto a la categoría de 'Mejor dirección' como a la de 'Mejor dirección novel'*"
